Image,Island area (pixels),Island area (nm$^2$),Island area ($\Omega$)
image_001.jpg,67801.0,41.03,159.03
image_002.jpg,125346.0,75.85,294.01
image_003.jpg,130861.0,79.19,306.95
image_004.jpg,46600.0,28.2,109.3
image_005.jpg,36046.0,21.81,84.55
image_006.jpg,26414.0,15.98,61.96
image_007.jpg,43687.0,26.44,102.47
image_008.jpg,60373.0,36.54,141.61
image_009.jpg,48817.0,29.54,114.5
image_010.jpg,30645.0,18.55,71.88
image_011.jpg,35229.0,21.32,82.63
image_012.jpg,33336.0,20.17,78.19
image_013.jpg,90472.0,54.75,212.21
image_014.jpg,48014.0,29.06,112.62
image_015.jpg,21868.0,13.23,51.29
image_016.jpg,65698.0,39.76,154.1
image_017.jpg,35064.0,21.22,82.25
image_018.jpg,66353.0,40.15,155.64
image_019.jpg,38619.0,23.37,90.58
image_020.jpg,40818.0,24.7,95.74
image_021.jpg,32263.0,19.52,75.68
image_022.jpg,30421.0,18.41,71.35
image_023.jpg,39467.0,23.88,92.57
image_024.jpg,57289.0,34.67,134.38
image_025.jpg,68120.0,41.22,159.78
image_026.jpg,46624.0,28.21,109.36
image_027.jpg,38917.0,23.55,91.28
image_028.jpg,62307.0,37.71,146.15
image_029.jpg,90028.0,54.48,211.17
image_030.jpg,29446.0,17.82,69.07
image_031.jpg,32677.0,19.77,76.65
image_032.jpg,37690.0,22.81,88.4
image_033.jpg,43151.0,26.11,101.21
image_034.jpg,43875.0,26.55,102.91
image_035.jpg,46347.0,28.05,108.71
image_036.jpg,59588.0,36.06,139.77
image_037.jpg,31686.0,19.18,74.32
image_038.jpg,25594.0,15.49,60.03
image_039.jpg,28334.0,17.15,66.46
image_040.jpg,30550.0,18.49,71.66
image_041.jpg,18365.0,11.11,43.08
image_042.jpg,29340.0,17.76,68.82
image_043.jpg,20409.0,12.35,47.87
image_044.jpg,23038.0,13.94,54.04
image_045.jpg,19881.0,12.03,46.63
image_046.jpg,96638.0,58.48,226.67
image_047.jpg,46338.0,28.04,108.69
image_048.jpg,103975.0,62.92,243.88
image_049.jpg,78120.0,47.28,183.24
image_050.jpg,20886.0,12.64,48.99
image_051.jpg,34540.0,20.9,81.02
image_052.jpg,36796.0,22.27,86.31
image_053.jpg,25131.0,15.21,58.95
image_054.jpg,24876.0,15.05,58.35
image_055.jpg,24237.0,14.67,56.85
image_056.jpg,24395.0,14.76,57.22
image_057.jpg,36434.0,22.05,85.46
image_058.jpg,48618.0,29.42,114.04
image_059.jpg,25644.0,15.52,60.15
image_060.jpg,35042.0,21.21,82.19
image_061.jpg,117264.0,70.96,275.05
image_062.jpg,28510.0,17.25,66.87
image_063.jpg,71050.0,43.0,166.65
image_064.jpg,22206.0,13.44,52.09
image_065.jpg,71239.0,43.11,167.1
image_066.jpg,37264.0,22.55,87.41
image_067.jpg,55065.0,33.32,129.16
image_068.jpg,47113.0,28.51,110.51
image_069.jpg,84408.0,51.08,197.99
image_070.jpg,113869.0,68.91,267.09
image_071.jpg,135155.0,81.79,317.02
image_072.jpg,48418.0,29.3,113.57
image_073.jpg,43507.0,26.33,102.05
image_074.jpg,36248.0,21.94,85.02
image_075.jpg,30660.0,18.55,71.92
image_076.jpg,38147.0,23.09,89.48
image_077.jpg,39939.0,24.17,93.68
image_078.jpg,36046.0,21.81,84.55
image_079.jpg,21841.0,13.22,51.23
image_080.jpg,24623.0,14.9,57.76
image_081.jpg,20228.0,12.24,47.45
image_082.jpg,45791.0,27.71,107.41
image_083.jpg,35893.0,21.72,84.19
image_084.jpg,38537.0,23.32,90.39
image_085.jpg,41186.0,24.92,96.61
image_086.jpg,45250.0,27.38,106.14
image_087.jpg,56896.0,34.43,133.45
image_088.jpg,24862.0,15.05,58.32
image_089.jpg,20042.0,12.13,47.01
image_090.jpg,54491.0,32.98,127.81
image_091.jpg,79656.0,48.2,186.84
image_092.jpg,36948.0,22.36,86.66
image_093.jpg,47513.0,28.75,111.45
image_094.jpg,64627.0,39.11,151.59
image_095.jpg,44833.0,27.13,105.16
image_096.jpg,23143.0,14.01,54.28
image_097.jpg,18773.0,11.36,44.03
image_098.jpg,45796.0,27.71,107.42
image_099.jpg,55121.0,33.36,129.29
image_100.jpg,47315.0,28.63,110.98
image_101.jpg,22912.0,13.87,53.74
image_102.jpg,27748.0,16.79,65.09
image_103.jpg,24089.0,14.58,56.5
image_104.jpg,69004.0,41.76,161.85
image_105.jpg,21398.0,12.95,50.19
image_106.jpg,42466.0,25.7,99.61
image_107.jpg,53886.0,32.61,126.39
image_108.jpg,26723.0,16.17,62.68
image_109.jpg,52930.0,32.03,124.15
image_110.jpg,36003.0,21.79,84.45
image_111.jpg,18710.0,11.32,43.89
image_112.jpg,31614.0,19.13,74.15
image_113.jpg,21650.0,13.1,50.78
image_114.jpg,24405.0,14.77,57.24
image_115.jpg,13775.0,8.34,32.31
image_116.jpg,29505.0,17.86,69.21
image_117.jpg,15409.0,9.32,36.14
image_118.jpg,29489.0,17.85,69.17
image_119.jpg,32613.0,19.74,76.5
image_120.jpg,50558.0,30.6,118.59
image_121.jpg,34751.0,21.03,81.51
image_122.jpg,29873.0,18.08,70.07
image_123.jpg,39219.0,23.73,91.99
image_124.jpg,23394.0,14.16,54.87
image_125.jpg,40013.0,24.21,93.85
image_126.jpg,41997.0,25.41,98.51
image_127.jpg,34468.0,20.86,80.85
image_128.jpg,82769.0,50.09,194.14
image_129.jpg,39432.0,23.86,92.49
image_130.jpg,78060.0,47.24,183.1
image_131.jpg,68698.0,41.57,161.14
image_132.jpg,22492.0,13.61,52.76
image_133.jpg,17066.0,10.33,40.03
image_134.jpg,22864.0,13.84,53.63
image_135.jpg,20388.0,12.34,47.82
image_136.jpg,44680.0,27.04,104.8
image_137.jpg,32731.0,19.81,76.77
image_138.jpg,53751.0,32.53,126.08
image_139.jpg,40633.0,24.59,95.31
image_140.jpg,26495.0,16.03,62.15
image_141.jpg,53604.0,32.44,125.73
image_142.jpg,82890.0,50.16,194.43
image_143.jpg,38174.0,23.1,89.54
image_144.jpg,22354.0,13.53,52.43
image_145.jpg,56738.0,34.34,133.08
image_146.jpg,49381.0,29.88,115.83
image_147.jpg,30528.0,18.47,71.61
image_148.jpg,107771.0,65.22,252.79
image_149.jpg,26967.0,16.32,63.25
image_150.jpg,21226.0,12.85,49.79
image_151.jpg,31023.0,18.77,72.77
image_152.jpg,17985.0,10.88,42.19
image_153.jpg,30776.0,18.62,72.19
image_154.jpg,52038.0,31.49,122.06
image_155.jpg,21726.0,13.15,50.96
image_156.jpg,26842.0,16.24,62.96
image_157.jpg,16834.0,10.19,39.49
image_158.jpg,30483.0,18.45,71.5
image_159.jpg,27130.0,16.42,63.64
image_160.jpg,41641.0,25.2,97.67
image_161.jpg,41011.0,24.82,96.19
image_162.jpg,20780.0,12.58,48.74
image_163.jpg,61676.0,37.32,144.67
image_164.jpg,29713.0,17.98,69.69
image_165.jpg,24197.0,14.64,56.76
image_166.jpg,15883.0,9.61,37.25
image_167.jpg,29724.0,17.99,69.72
image_168.jpg,40401.0,24.45,94.76
image_169.jpg,14543.0,8.8,34.11
image_170.jpg,23625.0,14.3,55.41
image_171.jpg,28516.0,17.26,66.89
image_172.jpg,27704.0,16.77,64.98
image_173.jpg,22372.0,13.54,52.48
image_174.jpg,29999.0,18.15,70.37
image_175.jpg,64134.0,38.81,150.43
image_176.jpg,21886.0,13.24,51.34
image_177.jpg,106596.0,64.51,250.03
image_178.jpg,45231.0,27.37,106.09
image_179.jpg,30587.0,18.51,71.74
image_180.jpg,26912.0,16.29,63.12
